,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENCANA PROYEKSI PENERIMAAN LAYANAN 2023 - 2027 (BLU),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MENURUT KELOMPOK PARAMETER PENGUJIAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,Parameter Pengujian,HPP BLU (Rp),Tarif LPPT UGM,Tarif Pengujian UII,Tarif Balabkes     Dinkes DIY,Tarif BBTKLPP DIY,Tarif PP 54 Th 2021 (Rp),,,2024,,2025,,2026,,2027,,,Tarif Pesaing,,,,,,,,
,,,,,,,,,,,,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Sampel (bh),Rp,Asumsi Growth /tahun ,BPIPI SIDOHARJO,"Unit Pengelola Pengujian dan Inspeksi, Sertifikasi Produk Perindustrian, Perdagangan, Koperasi Usaha Kecil dan Menengah DKI Jakarta",LAB.BAN TUV Rheinland Indonesia,Pusat Penelitian Karet (LP – Puslit Karet),BBBBT,Balai Pengujian Mutu Barang Jakarta,BBTKLPP DIY,BBKFK,PT. Mutuagung Lestari Jawa Barat
,6,,BAN LUAR MOBIL PENUMPANG,#REF!,0,0,0,0,"4,041,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,"12,000,000","4,000,000","4,000,000","3,240,000",,,
,,,Sifat tampak,"21,263",-,-,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,"Dimensi (lebar, diameter) (TTKAN)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"lndikator keausan telapak (Tread Wear Indicator, TWI)",#REF!,-,-,,,"300,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,Bead Unseating (Tubeless),#REF!,-,-,,,"450,000",,,,,,,,,,,,,,,,,,,,
,,,Energi penembusan (breaking energy),#REF!,-,-,,,"450,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan ban pada berbagai kecepatan (high speed),#REF!,-,-,,,"500,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan saat tekanan angin rendah (low inflation pressure),#REF!,,,,,"500,000",,,,,,,,,,,,,,,,,,,,
,,,"Ketahanan pada berbagai beban (endurance), Kondisi setelah diuji",#REF!,-,-,,,"1,500,000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,BAN LUAR SEPEDA MOTOR,#REF!,0,0,0,0,"3,091,000",,,,,,,,,,,,,,"9,000,000","37,000,000","3,000,000","1,750,000",,,
,,,Sifat tampak,"21,263",-,-,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,"Dimensi (lebar, diameter) (TTKAN)",#REF!,-,-,,,"300,000",,,,,,,,,,,,,,,,,,,,
,,,"lndikator keausan telapak (Tread Wear Indicator, TWI)",#REF!,-,-,,,"300,000",,,,,,,,,,,,,,,,,,,,
,,,Energi penembusan (breaking energy),#REF!,-,-,,,"450,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan ban pada berbagai kecepatan (high speed),#REF!,-,-,,,"500,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,"Ketahanan pada berbagai beban (endurance), Kondisi setelah diuji",#REF!,-,-,,,"1,500,000",,,0 ,0,0 ,0,0 ,0,0 ,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,ROL KARET PENGUPAS GABAH,"1,668,482",0,0,0,0,"484,000",,,,0,,0,,#REF!,,#REF!,,,,,,,,,,
,,,Diameter luar,"73,136",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Diameter dalam,"73,136",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Diameter flensa,"148,598",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Lingkaran dasar lubang baut,"148,598",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Diameter lubang baut,"148,598",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Lebar rol,"73,136",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Lebar dalam,"73,136",-,-,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,Tebal flensa,"148,598",-,-,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Tebal velg,"148,598",-,-,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Visual,"21,263",-,-,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan tarik & perpanjangan putus,"204,193",-,-,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Kekerasan sebelum pemanasan,"65,315",-,-,,,"30,000",,,,,,,,,,,,,,,,,,,,
,,,Kekerasan setelah pemanasan,"142,307",,,,,"30,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan kikis,"199,869",-,-,,,"55,000",,,0 ,0,0 ,0,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,SOL KARET CETAK,,,,,,,,,,0,,0,,0,,0,,,"200,000",,,,,,,
,,,Keadaan dan kenampakan sol,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Nomor sol kanan dan kiri,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan tarik,"204,193",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Perpanjangan putus,"204,193",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan sobek,"202,243",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,"Perpanjangan tetap, suhu lab","66,187",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,"Perpanjangan tetap, dalam oven",,-,-,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,24 jam,"346,086",,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 jam,"849,885",,,,,,,,,,,,,,,,,,,,,,,,,
,,,168 jam,"1,857,481",,,,,,,,,,,,,,,,,,,,,,,,,
,,,Berat jenis,"84,553",-,-,,,"30,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan kikis,"199,869",-,-,,,"55,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan bengkung,"214,422",,,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Stabilitas dimensi,"371,451",,,,,"20,000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,SEPATU PENGAMAN,"4,507,205",0,0,0,0,"2,250,000",,,,,,,,,,,,"1,688,000",,,,,,,,
,,,Bentuk sepatu kanan dan kiri,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Bagian atas dan bawah,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Pencantuman tanda & kode pada sepatu kanan dan kiti,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Nomor sepatu kanan dan kiri,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Konstruksi,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Pengeras depan,"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Jahitan rantai dan kunci,"22,210",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Tinggi bagian atas sepatu,"20,142",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Kuat rekat bagian atas dengan sol luar,"223,033",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Kuat rekat sol tengah dengan sol luar (jika ada),"223,033",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Ketebalan (bagian atas),"35,011",,,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan sobek (bagian atas),"188,873",,,,,"109,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan tarik (bagian atas),"192,373",,,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Kadar pH (bagian atas),,,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Jumlah helai dalam lilitan (benang jahit),"16,015",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan tarik (benang jahit),"230,488",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Perpanjangan putus (benang jahit),"230,488",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan sobek (lapis bagian depan dan samping),"188,873",,,,,"109,000",,,,,,,,,,,,,,,,,,,,
,,,Kekuatan sobek (lidah),"188,873",,,,,"109,000",,,,,,,,,,,,,,,,,,,,
,,,Kadar pH (lidah),"69,763",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Panjang sisi dalam (pengeras depan),"20,142",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan pukul dengan energi 200 J (pengeras depan),"246,937",,,,,"41,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan tekanan dengan beban 15 kN (pengeras depan),"203,942",,,,,"120,000",,,,,,,,,,,,,,,,,,,,
,,,Ketahanan korosi (pengeras depan),"67,336",,,,,"34,000",,,,,,,,,,,,,,,,,,,,
,,,Ketebalan (sol dalam),"40,549",,,,,"34,000",,,,,,,,,,,,,,,,,,,,
